epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,63.5548,1.25813,2.47553,1.63977,1.37466,0.48061,0.09897,0.10715,0.05552,0.54492,0.03263,0.07297,0.03643,1.89145,4.58695,2.99457,1.94548,0.000265605,0.000265605,0.000265605
59,64.6909,1.23892,2.31696,1.54946,1.33077,0.38681,0.0917,0.10414,0.05757,0.51579,0.04324,0.06841,0.03932,1.83941,4.54168,3.01415,1.892,0.000263773,0.000263773,0.000263773
60,65.8434,1.26318,2.4772,1.55072,1.33644,0.33223,0.0844,0.10453,0.06146,0.60392,0.0404,0.07239,0.04068,1.81134,4.54496,2.9909,1.91676,0.000261942,0.000261942,0.000261942
61,66.9784,1.21207,2.45487,1.49759,1.32382,0.49503,0.09023,0.10896,0.0604,0.59788,0.0404,0.06998,0.04274,1.79583,4.56703,2.9927,1.87679,0.00026011,0.00026011,0.00026011
62,68.1147,1.22818,2.43457,1.50385,1.34005,0.4097,0.09369,0.10779,0.05981,0.51795,0.03613,0.07284,0.03978,1.76828,4.58841,3.02556,1.80269,0.000258279,0.000258279,0.000258279
63,69.2781,1.23888,2.40229,1.517,1.34941,0.46835,0.09422,0.09943,0.05449,0.42401,0.0404,0.0758,0.0398,1.74454,4.56459,3.0491,1.76021,0.000256447,0.000256447,0.000256447
64,70.4866,1.19487,2.29345,1.47028,1.32822,0.10406,0.39384,0.15347,0.10986,0.1026,0.31702,0.1308,0.04331,1.72152,4.50271,3.07607,1.72192,0.000254616,0.000254616,0.000254616
65,71.6656,1.17557,2.37084,1.50179,1.303,0.10421,0.42007,0.15766,0.10899,0.10219,0.31439,0.12992,0.04891,1.74246,4.45015,3.08784,1.75166,0.000252784,0.000252784,0.000252784
66,72.8866,1.18395,2.42221,1.45119,1.33358,0.10417,0.40084,0.15981,0.10341,0.10161,0.28526,0.12886,0.04941,1.76147,4.4896,3.05461,1.7652,0.000250952,0.000250952,0.000250952
67,74.0406,1.22172,2.39366,1.52652,1.35253,0.09677,0.42648,0.15751,0.10272,0.09426,0.32449,0.12499,0.0402,1.77095,4.49748,3.06657,1.78265,0.000249121,0.000249121,0.000249121
68,75.1953,1.16491,2.31615,1.42664,1.32592,0.0939,0.45532,0.15995,0.10111,0.09072,0.32799,0.122,0.04105,1.78061,4.4682,3.06402,1.7839,0.000247289,0.000247289,0.000247289
69,76.3482,1.13644,2.29299,1.4117,1.30406,0.09214,0.47106,0.15848,0.09991,0.08945,0.35363,0.12276,0.03979,1.76001,4.3896,3.09183,1.75634,0.000245458,0.000245458,0.000245458
70,77.5758,1.22013,2.427,1.42229,1.29496,0.42053,0.08617,0.10258,0.04855,0.34976,0.03205,0.06396,0.02561,1.75689,4.33598,3.09787,1.74638,0.000243626,0.000243626,0.000243626
71,78.8432,1.12338,2.25157,1.35785,1.26737,0.37335,0.05274,0.09701,0.04439,0.3451,0.03486,0.06352,0.02373,1.78576,4.28209,3.1046,1.73031,0.000241795,0.000241795,0.000241795
